key	scientificName	decimalLatitude	decimalLongitude	issues	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	coordinateUncertaintyInMeters	stateProvince	year	month	day	eventDate	modified	lastInterpreted	references	license	isInCluster	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	country	rightsHolder	identifier	http://unknown.org/nick	verbatimEventDate	collectionCode	gbifID	verbatimLocality	occurrenceID	taxonID	catalogNumber	institutionCode	eventTime	http://unknown.org/captive	identificationID	occurrenceRemarks	lifeStage	identificationRemarks	name	individualCount	dynamicProperties	associatedReferences	county	municipality	locality	locationID	fieldNotes	behavior	footprintWKT	projectId	organismQuantity	organismQuantityType	organismName	verbatimCoordinateSystem	vernacularName	language	bibliographicCitation	infraspecificEpithet	informationWithheld	programmeAcronym	continent	institutionID	collectionID	nomenclaturalCode	verbatimElevation	higherClassification	associatedTaxa	habitat	institutionKey	taxonConceptID	samplingProtocol	samplingEffort	georeferenceRemarks	eventRemarks	locationAccordingTo	locationRemarks	ownerInstitutionCode
3455566252	Corvus ossifragus A.Wilson, 1812	26.885607	-80.07209	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:09:39.772+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-04T16:51:49	3	Florida	2022	1	3	2022-01-03T08:34:39	2022-02-07T16:30:37.000+00:00	2022-10-28T11:09:39.772+00:00	https://www.inaturalist.org/observations/104281062	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	atlasbeetle	Joe MDO	WGS84	Aves	US	United States of America	atlasbeetle	104281062	atlasbeetle	Mon Jan 03 2022 08:34:39 GMT-0600 (CST)	Observations	3455566252	Paradise Point Rd, West Palm Beach, FL, US	https://www.inaturalist.org/observations/104281062	8001	104281062	iNaturalist	08:34:39-05:00	wild	229704985	NA	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3455586994	Corvus ossifragus A.Wilson, 1812	40.695253	-73.999992	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:05:53.165+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-14T22:56:21	8	New York	2022	1	14	2022-01-14T12:27:00	2022-01-14T23:00:56.000+00:00	2022-10-28T11:05:53.165+00:00	https://www.inaturalist.org/observations/104938951	http://creativecommons.org/licenses/by/4.0/legalcode	FALSE	iNaturalist research-grade observations	er-birds	er-birds	WGS84	Aves	US	United States of America	er-birds	104938951	er-birds	Fri Jan 14 2022 12:27:00 GMT-0500 (EST)	Observations	3455586994	Brooklyn Bridge Park - Pier 5, New York, NY, US	https://www.inaturalist.org/observations/104938951	8001	104938951	iNaturalist	12:27:00-05:00	wild	231553088	Vocalizing	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3455714230	Corvus ossifragus A.Wilson, 1812	28.032136	-82.422283	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:10:06.250+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-16T00:07:48	8	Florida	2022	1	13	2022-01-13T07:46:29	2022-01-16T15:01:50.000+00:00	2022-10-28T11:10:06.250+00:00	https://www.inaturalist.org/observations/105002051	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	Bruce Neville	Bruce Neville	WGS84	Aves	US	United States of America	Bruce Neville	105002051	bruceneville	Thu Jan 13 2022 07:46:29 GMT-0600 (CST)	Observations	3455714230	E Busch Blvd, Tampa, FL, US	https://www.inaturalist.org/observations/105002051	8001	105002051	iNaturalist	07:46:29-06:00	wild	231739626	By voice	Adult	It's soft, but the call is there.	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3455839522	Corvus ossifragus A.Wilson, 1812	38.993637	-76.87963	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:05:58.458+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-16T12:37:30	5	Maryland	2022	1	16	2022-01-16T07:31:15	2022-01-16T14:05:44.000+00:00	2022-10-28T11:05:58.458+00:00	https://www.inaturalist.org/observations/105029883	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	spyingnaturalist	spyingnaturalist	WGS84	Aves	US	United States of America	spyingnaturalist	105029883	spyingnaturalist	Sun Jan 16 2022 07:31:15 GMT-0500 (EST)	Observations	3455839522	Greenway Shopping Center, Greenbelt, MD, US	https://www.inaturalist.org/observations/105029883	8001	105029883	iNaturalist	07:31:15-05:00	wild	231823058	One American crow on far right facing left with its longer legs and upright stance makes for a great comparison. I wish I had my camera to do a comparison study:/	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456159354	Corvus ossifragus A.Wilson, 1812	27.773616	-82.628775	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:10:11.314+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-07T01:26:58	8	Florida	2022	1	6	2022-01-06T16:46:00	2022-01-08T18:36:15.000+00:00	2022-10-28T11:10:11.314+00:00	https://www.inaturalist.org/observations/104494077	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	rewild2thrive	rewild2thrive	WGS84	Aves	US	United States of America	rewild2thrive	104494077	rewild2thrive	2022/01/06 4:46 PM UTC	Observations	3456159354	St. Petersburg, FL, USA	https://www.inaturalist.org/observations/104494077	8001	104494077	iNaturalist	16:46:00Z	wild	230138704	NA	Adult	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456167585	Corvus ossifragus A.Wilson, 1812	25.707491	-80.151561	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:10:08.266+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-20T01:07:04	210	Florida	2022	1	13	2022-01-13T14:19:00	2022-01-20T23:33:55.000+00:00	2022-10-28T11:10:08.266+00:00	https://www.inaturalist.org/observations/105238654	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	mcclelcr	mcclelcr	WGS84	Aves	US	United States of America	mcclelcr	105238654	mcclelcr	2022/01/13 2:19 PM UTC	Observations	3456167585	Miami-Dade County, FL, USA	https://www.inaturalist.org/observations/105238654	8001	105238654	iNaturalist	14:19:00Z	wild	232488868	NA	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456194871	Corvus ossifragus A.Wilson, 1812	40.688163	-74.223413	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:09:58.596+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-15T02:37:41	8	New Jersey	2022	1	13	2022-01-13T14:08:19	2022-01-18T04:13:19.000+00:00	2022-10-28T11:09:58.596+00:00	https://www.inaturalist.org/observations/104876207	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	honeythighs	J Mollenhauer	WGS84	Aves	US	United States of America	honeythighs	104876207	honeythighs	2022-01-13 14:08:19	Observations	3456194871	Hillside, NJ 07205, USA	https://www.inaturalist.org/observations/104876207	8001	104876207	iNaturalist	14:08:19-05:00	wild	231581345	i believe the first bird is a crow and the second a starling	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456218613	Corvus ossifragus A.Wilson, 1812	26.885814	-80.07217	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:10:01.463+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-03T18:01:22	3	Florida	2022	1	3	2022-01-03T08:51:30	2022-01-03T23:48:59.000+00:00	2022-10-28T11:10:01.463+00:00	https://www.inaturalist.org/observations/104280598	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	atlasbeetle	Lyndsey	WGS84	Aves	US	United States of America	atlasbeetle	104280598	atlasbeetle	Mon Jan 03 2022 08:51:30 GMT-0500 (EST)	Observations	3456218613	Paradise Point Rd, West Palm Beach, FL, US	https://www.inaturalist.org/observations/104280598	8001	104280598	iNaturalist	08:51:30-05:00	wild	229517802	NA	NA	Larger wings that reach all the way down to the end of the tail. Since you captured audio of then that's probably what you have here..	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456235769	Corvus ossifragus A.Wilson, 1812	27.525372	-82.597358	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:05:55.127+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-16T02:23:40	5	Florida	2022	1	1	2022-01-01T14:31:25	2022-03-03T19:45:17.000+00:00	2022-10-28T11:05:55.127+00:00	https://www.inaturalist.org/observations/104791519	http://creativecommons.org/licenses/by-nc/4.0/legalcode	FALSE	iNaturalist research-grade observations	Devon Hawes	Bill Pranty	WGS84	Aves	US	United States of America	Devon Hawes	104791519	devon123	Sat Jan 01 2022 14:31:25 GMT-0500 (EST)	Observations	3456235769	28th Ave W, Palmetto, FL, US	https://www.inaturalist.org/observations/104791519	8001	104791519	iNaturalist	14:31:25-05:00	wild	231757492	NA	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3456295045	Corvus ossifragus A.Wilson, 1812	29.615607	-82.326442	cdround	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	US	DWC_ARCHIVE	2022-10-27T11:38:39.064+00:00	2022-10-28T11:10:02.996+00:00	322	28eb1a3f-1c15-4a95-931a-4af90ecb574d	HUMAN_OBSERVATION	PRESENT	2482481	1	44	212	729	5235	2482468	2482481	2482481	Corvus ossifragus A.Wilson, 1812	Animalia	Chordata	Passeriformes	Corvidae	Corvus	Corvus ossifragus	Corvus	ossifragus	SPECIES	ACCEPTED	LC	2022-01-18T02:34:22	NA	Florida	2022	1	17	2022-01-17T15:09:00	2022-01-18T02:44:26.000+00:00	2022-10-28T11:10:02.996+00:00	https://www.inaturalist.org/observations/105134698	http://creativecommons.org/licenses/by/4.0/legalcode	FALSE	iNaturalist research-grade observations	Vijay Barve	Vijay Barve	WGS84	Aves	US	United States of America	Vijay Barve	105134698	vijaybarve	2022/01/17 3:09 PM EST	Observations	3456295045	Alachua County, FL, USA	https://www.inaturalist.org/observations/105134698	8001	105134698	iNaturalist	15:09:00-05:00	wild	232135075	NA	NA	NA	Corvus ossifragus A.Wilson, 1812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
